(2 1 1) | (2 15)(1 1)
(2 1 1) | (2 15)(1 10)
(2 1 1) | (3 19)(1 1)
(2 1 1) | (3 19)(1 10)
(3 2 2) | (3 19)(2 15)
(3 2 2) | (8 18)(2 15)
(3 2 1) | (8 18)(4 4)
(3 2 1) | (8 18)(4 14)
(2 2 1) | (9 11)(4 4)
(3 2 2) | (10 16)(2 15)
(3 2 1) | (10 16)(4 4)
(3 2 1) | (10 16)(4 14)
(3 2 2) | (10 16)(9 11)
(3 2 2) | (12 19)(2 15)
(3 2 1) | (12 19)(4 4)
(3 2 1) | (12 19)(4 14)
(4 3 3) | (12 19)(8 18)
(4 3 2) | (12 19)(9 11)
(4 3 3) | (12 19)(10 16)
(3 3 2) | (14 15)(9 11)
(3 3 1) | (14 15)(12 1)
(2 3 1) | (18 2)(12 1)
(2 3 1) | (18 2)(16 1)
(2 3 1) | (18 3)(12 1)
(2 3 1) | (18 3)(16 1)
(3 3 2) | (19 18)(9 11)
(4 3 3) | (19 18)(10 16)
(4 3 1) | (19 18)(12 1)
(4 3 3) | (19 18)(14 15)
(4 3 1) | (19 18)(16 1)
(4 3 2) | (19 18)(18 2)
(4 3 2) | (19 18)(18 3)
(2 3 1) | (20 8)(12 1)
(2 3 1) | (20 8)(16 1)
(3 3 2) | (20 8)(18 2)
(3 3 2) | (20 8)(18 3)
